15,2,"problem",54525,1876406
15,2,"example",50985,175594
23,2,"problem",16880,157047826689
23,2,"example",14782,149245887792
22,2,"problem",6956,32018
13,2,"problem",3862,"1,01018234629147E+15"
25,1,"problem",2947,7269858
17,2,"problem",2368,2000
24,2,"problem",2145,4214
20,1,"problem",2138,174206308298779
9,2,"problem",1899,8249240
20,2,"problem",1885,2409
17,2,"example",1842,848
11,1,"problem",1351,2303
24,2,"example",1124,2208
11,2,"problem",969,2057
14,2,"problem",405,4197941339968
18,2,"problem",314,158183007916215
13,2,"example",279,1068781
17,1,"example",221,112
17,1,"problem",187,322
5,2,"example",164,539
18,1,"problem",154,24650385570008
1,2,"problem",123,100655544
13,1,"example",120,295
7,1,"problem",92,192
4,2,"problem",83,179
5,1,"example",78,816
19,2,"problem",76,355
21,1,"example",65,5
18,1,"example",63,26335
16,2,"problem",61,855275529001
18,2,"example",60,693891
7,2,"problem",50,12128
23,1,"example",50,67384529
19,1,"problem",46,226
9,1,"problem",44,70639851
24,1,"example",43,10
20,1,"example",43,20899048083289
24,1,"problem",40,386
15,1,"example",40,436
9,2,"example",35,62
16,1,"problem",33,26869
20,2,"example",33,273
7,1,"example",31,4
11,1,"example",30,37
21,1,"problem",28,2374
22,1,"example",27,306
12,1,"example",26,25
2,1,"problem",25,546
19,1,"example",25,2
2,1,"example",23,2
10,1,"example",23,220
25,1,"example",21,14897079
11,2,"example",21,26
5,2,"problem",20,539
16,2,"example",20,14
6,2,"problem",20,3392
4,2,"example",19,2
6,1,"problem",19,6335
9,1,"example",18,127
3,1,"example",17,7
14,2,"example",16,208
4,1,"example",15,2
5,1,"problem",14,816
22,2,"example",14,291
21,2,"example",14,"mxmxvkd,sqjhc,fvjkl"
21,2,"problem",14,"fbtqkzc,jbbsjh,cpttmnv,ccrbr,tdmqcl,vnjxjg,nlph,mzqjxq"
16,1,"example",14,71
8,2,"problem",11,1703
7,2,"example",9,32
1,1,"example",9,514579
2,2,"problem",8,275
19,2,"example",8,12
10,2,"problem",8,16198260678656
1,1,"problem",7,1019571
10,2,"example",7,19208
12,2,"problem",6,58606
4,1,"problem",6,204
1,2,"example",6,241861950
6,1,"example",5,11
13,1,"problem",4,3246
8,1,"example",4,5
8,1,"problem",4,1610
15,1,"problem",4,763
14,1,"example",4,165
14,1,"problem",4,15172047086292
22,1,"problem",3,34664
2,2,"example",3,1
6,2,"example",3,6
12,1,"problem",2,1631
10,1,"problem",2,2100
23,1,"problem",2,82635947
3,2,"example",1,336
12,2,"example",0,286
8,2,"example",0,8
3,1,"problem",0,162
3,2,"problem",0,3064612320
